Partlist

Exported from lc256.sch at 21.03.25 18:06

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                Device                  Package             Library  Sheet
Q2       xxMHZ                YSO751SR                OSC7050             _smd     1
Q3       4,433619MHZ          YSO751SR                OSC7050             _smd     1
R-V9938  10k                  RESISTOR_0805           0805                _smd     1
R1       3,3k                 RESISTOR_0805           0805                _smd     1
R2       470                  RESISTOR_0805           0805                _smd     1
R3       2,2k                 RESISTOR_0805           0805                _smd     1
R4       1k                   RESISTOR_0805           0805                _smd     1
R5       1k                   RESISTOR_0805           0805                _smd     1
R6       1k                   RESISTOR_0805           0805                _smd     1
R7       1k                   RESISTOR_0805           0805                _smd     1
R8       43                   RESISTOR_0805           0805                _smd     1
R9       75                   RESISTOR_0805           0805                _smd     1
R10      75                   RESISTOR_0805           0805                _smd     1
R11      75                   RESISTOR_0805           0805                _smd     1
R12      75                   RESISTOR_0805           0805                _smd     1
R13      75                   RESISTOR_0805           0805                _smd     1
R14      3,32k 1%             RESISTOR_0805           0805                _smd     1
R15      2,2k                 RESISTOR_0805           0805                _smd     1
R16      2,2k                 RESISTOR_0805           0805                _smd     1
R17      220                  RESISTOR_0805           0805                _smd     1
R18      75                   RESISTOR_0805           0805                _smd     1
R19      2,61k 1%             RESISTOR_0805           0805                _smd     1
R20      240                  RESISTOR_0805           0805                _smd     1
R21      3,3k                 RESISTOR_0805           0805                _smd     1
R22      3,3k                 RESISTOR_0805           0805                _smd     1
R23      3,3k                 RESISTOR_0805           0805                _smd     1
R24      3,3k                 RESISTOR_0805           0805                _smd     1
R25      3,3k                 RESISTOR_0805           0805                _smd     1
R26      3,3k                 RESISTOR_0805           0805                _smd     1
R27      1k                   RESISTOR_0805           0805                _smd     1
R28      1k                   RESISTOR_0805           0805                _smd     1
R29      1k                   RESISTOR_0805           0805                _smd     1
R30      10k                  RESISTOR_0805           0805                _smd     1
R31      470k                 RESISTOR_0805           0805                _smd     1
R32      1M                   RESISTOR_0805           0805                _smd     1
R33      47k                  RESISTOR_0805           0805                _smd     1
R34      330                  RESISTOR_0805           0805                _smd     1
R35      330                  RESISTOR_0805           0805                _smd     1
R36      4,7k                 RESISTOR_0805           0805                _smd     1
R37      10k                  RESISTOR_0805           0805                _smd     1
R38      10k                  RESISTOR_0805           0805                _smd     1
R39      10k                  RESISTOR_0805           0805                _smd     1
R40      10k                  RESISTOR_0805           0805                _smd     1
R41      22                   RESISTOR_0805           0805                _smd     1
R42      22k                  RESISTOR_0805           0805                _smd     1
R43      10k                  RESISTOR_0805           0805                _smd     1
R44      10k                  RESISTOR_0805           0805                _smd     1
R45      22                   RESISTOR_0805           0805                _smd     1
R46      22k                  RESISTOR_0805           0805                _smd     1
R47      10k                  RESISTOR_0805           0805                _smd     1
R48      10k                  RESISTOR_0805           0805                _smd     1
R49      22                   RESISTOR_0805           0805                _smd     1
R50      22k                  RESISTOR_0805           0805                _smd     1
R51      10k                  RESISTOR_0805           0805                _smd     1
R52      3,3k                 RESISTOR_0805           0805                _smd     1
R53      3,3k                 RESISTOR_0805           0805                _smd     1
R54      10k                  RESISTOR_0805           0805                _smd     1
R55      10k                  RESISTOR_0805           0805                _smd     1
R56      3,3k                 RESISTOR_0805           0805                _smd     1
R57      3,3k                 RESISTOR_0805           0805                _smd     1
R58      3,3k                 RESISTOR_0805           0805                _smd     1
R59      3,3k                 RESISTOR_0805           0805                _smd     1
R60      330                  RESISTOR_0805           0805                _smd     1
R61      10k                  RESISTOR_0805           0805                _smd     1
R62      100-220              RESISTOR_0805           0805                _smd     1
R63      3,3k                 RESISTOR_0805           0805                _smd     1
R64      3,3k                 RESISTOR_0805           0805                _smd     1
R65      390                  RESISTOR_0805           0805                _smd     1
R66      220                  RESISTOR_0805           0805                _smd     1
R67      4,7k                 RESISTOR_0805           0805                _smd     1
R68      4,7k                 RESISTOR_0805           0805                _smd     1
R69      10k                  RESISTOR_0805           0805                _smd     1
R70      10k                  RESISTOR_0805           0805                _smd     1
R71      10k                  RESISTOR_0805           0805                _smd     1
R72      10k                  RESISTOR_0805           0805                _smd     1
R73      10k                  RESISTOR_0805           0805                _smd     1
R74      10k                  RESISTOR_0805           0805                _smd     1
R75      10k                  RESISTOR_0805           0805                _smd     1
R76      10k                  RESISTOR_0805           0805                _smd     1
R77      10k                  RESISTOR_0805           0805                _smd     1
R78      10k                  RESISTOR_0805           0805                _smd     1
R79      10k                  RESISTOR_0805           0805                _smd     1
R80      10k                  RESISTOR_0805           0805                _smd     1
R81      10k                  RESISTOR_0805           0805                _smd     1
R82      3,3k                 RESISTOR_0805           0805                _smd     1
R83      220                  RESISTOR_0805           0805                _smd     1
R84      470                  RESISTOR_0805           0805                _smd     1
S1       C64_PWRSWITCH        C64_PWRSWITCH           _C64_PWRSWITCH      _smd     1
S2       RESET                SWITCH_TACTILE_B3F_31XX _OMRON_B3F-31XX     _smd     1
S3       Res/SW1              SWITCH_TACTILE_B3F_31XX _OMRON_B3F-31XX     _smd     1
T1       BCW66H               BCW66H                  SOT23_BEC           _smd     1
T2       IRLML2402            IRLML2402               SOT23_GSD           _smd     1
T3       IRLML2402            IRLML2402               SOT23_GSD           _smd     1
T4       IRLML2402            IRLML2402               SOT23_GSD           _smd     1
T5       BCW66H               BCW66H                  SOT23_BEC           _smd     1
T6       BCW66H               BCW66H                  SOT23_BEC           _smd     1
X1       21,477MHz            CRYSTAL_COMBI           HC49COMBI           _smd     1
